"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
33.3333333333333,0,33.3333333333333,0,0,33.3333333333333,33.3333333333333,33.3333333333333,0,0
66.6666666666667,66.6666666666667,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
33.3333333333333,33.3333333333333,33.3333333333333,66.6666666666667,33.3333333333333,66.6666666666667,33.3333333333333,33.3333333333333,66.6666666666667,66.6666666666667
66.6666666666667,66.6666666666667,100,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,100,66.6666666666667,33.3333333333333
66.6666666666667,66.6666666666667,33.3333333333333,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,33.3333333333333,100,66.6666666666667
66.6666666666667,100,100,66.6666666666667,66.6666666666667,66.6666666666667,100,66.6666666666667,66.6666666666667,100
66.6666666666667,100,100,100,100,66.6666666666667,100,66.6666666666667,66.6666666666667,66.6666666666667
100,66.6666666666667,100,66.6666666666667,66.6666666666667,100,66.6666666666667,100,66.6666666666667,66.6666666666667
100,100,100,66.6666666666667,100,100,100,100,100,100
100,100,100,66.6666666666667,66.6666666666667,100,66.6666666666667,100,100,100
